Date,Open,High,Low,Close,Volume
2019-11-30,0.90821,0.91095,0.8963,0.89691,0
2019-12-31,0.89834,0.91499,0.89781,0.91118,0
2020-01-31,0.91081,0.91138,0.88425,0.88474,0
2020-02-29,0.88487,0.8995,0.86399,0.87133,0
2020-03-31,0.8702,0.90592,0.80672,0.86348,0
2020-04-30,0.86349,0.91216,0.84688,0.90504,0
2020-05-31,0.90504,0.92415,0.90072,0.92271,0
2020-06-30,0.9227,0.94442,0.91917,0.9363,0
2020-07-31,0.93636,0.9696,0.93474,0.95777,0
2020-08-31,0.95498,0.96511,0.94134,0.96321,0
2020-09-30,0.96322,0.96671,0.93903,0.95406,0
2020-10-31,0.95407,0.95756,0.92471,0.93566,0
2020-11-30,0.93537,0.96174,0.92989,0.95545,0
2020-12-31,0.95544,0.98577,0.94563,0.97956,0
2021-01-31,0.97951,0.98999,0.97425,0.97721,0
2021-02-28,0.97726,0.99926,0.97136,0.98417,0
2021-03-31,0.98408,0.98978,0.95237,0.9531,0
2021-04-30,0.95308,0.97586,0.94554,0.94749,0
